	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
GCA_015461105.1_PDT000699981.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3009612	0	189	189	39013	39013	15923	15923	107515	107515	37.7	3.8	85.58	11	2949	1	170	1	0	0	0
GCA_015461125.1_PDT000699964.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2989137	0	188	188	44622	44622	15899	15899	107513	107513	37.7	3.83	85.5	11	2914	1	169	2	0	0	0
GCA_015461145.1_PDT000699961.1	Firmicutes (1)	1349	172	99	98.99	0.51	0.0	3034204	0	238	238	24853	24853	12748	12748	94401	94401	37.7	3.23	85.79	11	3049	1	170	1	0	0	0
GCA_015461165.1_PDT000699963.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3074143	0	208	208	33346	33346	14779	14779	129096	129096	37.7	3.56	85.73	11	3067	1	169	2	0	0	0
GCA_015461185.1_PDT000699960.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2860495	0	198	198	31114	31114	14446	14446	120199	120199	37.9	3.99	85.51	11	2805	1	171	0	0	0	0
GCA_015461205.1_PDT000699975.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3154648	0	219	219	29396	29396	14404	14404	89989	89989	37.5	3.39	85.7	11	3191	1	169	2	0	0	0
GCA_015461225.1_PDT000699982.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2925212	0	195	195	40639	40639	15001	15001	107513	107513	37.7	3.53	85.47	11	2860	1	171	0	0	0	0
GCA_015461245.1_PDT000699967.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3189821	0	196	196	44838	44838	16274	16274	116398	116398	37.5	3.81	85.39	11	3204	1	167	4	0	0	0
GCA_015461265.1_PDT000699962.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3078272	0	203	203	41519	41519	15163	15163	129425	129425	37.6	3.64	85.68	11	3077	1	171	0	0	0	0
GCA_015461285.1_PDT000699969.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3207176	0	222	222	31278	31278	14446	14446	105010	105010	37.5	3.78	85.34	11	3238	1	169	2	0	0	0
GCA_015461305.1_PDT000699968.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2870945	0	174	174	39581	39581	16499	16499	107513	107513	37.9	3.34	85.58	11	2773	1	169	2	0	0	0
GCA_015461325.1_PDT000699957.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2891342	0	187	187	39576	39576	15461	15461	107515	107515	37.8	3.96	85.53	11	2789	1	171	0	0	0	0
GCA_015461345.1_PDT000699956.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2902403	0	185	185	40457	40457	15688	15688	107535	107535	37.8	4.0	85.55	11	2802	1	171	0	0	0	0
GCA_015461365.1_PDT000699966.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3093875	0	251	251	34653	34653	12326	12326	108789	108789	37.6	3.37	85.44	11	3109	1	171	0	0	0	0
GCA_015461385.1_PDT000699955.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2980110	0	192	192	39583	39583	15521	15521	107513	107513	37.7	3.81	85.53	11	2912	1	171	0	0	0	0
GCA_015461405.1_PDT000699958.1	Firmicutes (1)	1349	172	99	98.99	1.01	0.0	2840399	0	328	328	15739	15739	8659	8659	79349	79349	37.8	3.28	86.08	11	2821	1	170	1	0	0	0
GCA_015461425.1_PDT000699954.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2924806	0	202	202	40607	40607	14479	14479	107513	107513	37.7	3.95	85.47	11	2864	1	171	0	0	0	0
GCA_015461445.1_PDT000699952.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2952020	0	220	220	37165	37165	13418	13418	107513	107513	37.7	3.65	85.48	11	2878	1	171	0	0	0	0
GCA_015461465.1_PDT000699996.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2827790	0	164	164	48680	48680	17242	17242	107513	107513	37.8	3.58	85.76	11	2754	1	171	0	0	0	0
GCA_015461485.1_PDT000699978.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3080079	0	215	215	33345	33345	14325	14325	128911	128911	37.6	3.64	85.81	11	3080	1	170	1	0	0	0
GCA_015461505.1_PDT000699950.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2873002	0	176	176	40647	40647	16323	16323	107513	107513	37.9	3.52	85.6	11	2775	1	171	0	0	0	0
GCA_015461525.1_PDT000699995.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2923628	0	192	192	39397	39397	15227	15227	107513	107513	37.8	3.86	85.57	11	2821	1	170	1	0	0	0
GCA_015461545.1_PDT000699993.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2874565	0	197	197	36570	36570	14591	14591	100635	100635	37.8	3.51	85.64	11	2772	1	171	0	0	0	0
GCA_015461565.1_PDT000699991.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3176637	0	235	235	32533	32533	13517	13517	106952	106952	37.6	3.7	85.58	11	3215	1	170	1	0	0	0
GCA_015461585.1_PDT000699992.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	2894656	0	179	179	41204	41204	16171	16171	107513	107513	37.9	3.33	85.57	11	2794	1	167	4	0	0	0
GCA_015461605.1_PDT000699972.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3074406	0	197	197	40647	40647	15606	15606	107513	107513	37.6	3.82	85.56	11	3009	1	170	1	0	0	0
GCA_015461625.1_PDT000699971.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3143311	0	208	208	34962	34962	15112	15112	130139	130139	37.5	3.78	85.34	11	3152	1	171	0	0	0	0
GCA_015461645.1_PDT000699989.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2934024	0	210	210	40743	40743	13971	13971	107513	107513	37.7	3.83	85.88	11	2884	1	171	0	0	0	0
GCA_015461665.1_PDT000699977.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2844633	0	196	196	37165	37165	14513	14513	79174	79174	37.8	3.91	85.63	11	2753	1	171	0	0	0	0
GCA_015461675.1_PDT000699974.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3063521	0	194	194	41519	41519	15791	15791	131850	131850	37.7	3.44	85.63	11	3045	1	171	0	0	0	0
GCA_015461705.1_PDT000700032.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3102400	0	200	200	40665	40665	15512	15512	130362	130362	37.6	3.67	85.52	11	3113	1	171	0	0	0	0
GCA_015461725.1_PDT000700008.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3197261	0	216	216	34961	34961	14802	14802	130191	130191	37.5	3.5	85.36	11	3239	1	171	0	0	0	0
GCA_015461745.1_PDT000700072.1	Firmicutes (1)	1349	172	99	98.99	6.06	100.0	3105629	0	198	198	31896	31896	15684	15684	101958	101958	37.7	3.2	85.88	11	3115	1	168	0	3	0	0
GCA_015461765.1_PDT000700031.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3038817	0	198	198	37146	37146	15347	15347	148610	148610	37.7	3.63	85.61	11	3000	1	171	0	0	0	0
GCA_015461785.1_PDT000700070.1	Firmicutes (1)	1349	172	99	98.99	6.06	100.0	3076600	0	219	219	36996	36996	14048	14048	93325	93325	37.6	3.85	85.61	11	3045	1	163	8	0	0	0
GCA_015461815.1_PDT000700068.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3198830	0	230	230	34653	34653	13907	13907	106952	106952	37.5	3.61	85.36	11	3223	1	171	0	0	0	0
GCA_015461885.1_PDT000699940.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3158440	0	224	224	31895	31895	14100	14100	130135	130135	37.5	3.4	85.6	11	3188	1	171	0	0	0	0
GCA_015461905.1_PDT000699938.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3056708	0	271	271	34189	34189	11279	11279	160398	160398	38.4	10.85	85.14	11	3053	1	171	0	0	0	0
GCA_015461925.1_PDT000699948.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2900829	0	193	193	42781	42781	15030	15030	128432	128432	37.7	4.04	85.48	11	2882	1	171	0	0	0	0
GCA_015461945.1_PDT000699951.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3197859	0	224	224	34392	34392	14276	14276	130119	130119	37.5	3.58	85.44	11	3197	1	171	0	0	0	0
GCA_015461985.1_PDT000699937.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2957630	0	191	191	36556	36556	15484	15484	130938	130938	37.7	3.79	85.48	11	2923	1	171	0	0	0	0
GCA_015462005.1_PDT000699936.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3241931	0	434	434	23498	23498	7469	7469	86202	86202	37.5	3.64	85.83	11	3364	1	170	1	0	0	0
GCA_015462025.1_PDT000699946.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2819487	0	171	171	40744	40744	16488	16488	107513	107513	37.9	3.72	85.64	11	2726	1	171	0	0	0	0
GCA_015462035.1_PDT000699953.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2964458	0	201	201	37165	37165	14748	14748	81218	81218	37.7	3.82	85.54	11	2895	1	171	0	0	0	0
GCA_015462065.1_PDT000699945.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2751857	0	163	163	40753	40753	16882	16882	107513	107513	38.0	3.49	85.92	11	2653	1	171	0	0	0	0
GCA_015462085.1_PDT000699942.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3149439	0	217	217	36051	36051	14513	14513	106951	106951	37.5	3.63	85.4	11	3150	1	171	0	0	0	0
GCA_015462095.1_PDT000699944.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2874374	0	177	177	40647	40647	16239	16239	107513	107513	37.8	3.95	85.51	11	2770	1	171	0	0	0	0
GCA_015462125.1_PDT000699949.1	Firmicutes (1)	1349	172	99	98.99	0.03	0.0	3057567	0	304	304	34535	34535	10057	10057	133498	133498	38.9	12.71	84.73	11	3056	1	170	1	0	0	0
GCA_015462145.1_PDT000699932.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3068206	0	218	218	31152	31152	14074	14074	136073	136073	37.6	3.81	85.49	11	3086	1	169	2	0	0	0
GCA_015462165.1_PDT000699943.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2982585	0	185	185	41205	41205	16122	16122	107512	107512	37.7	3.9	85.45	11	2906	1	171	0	0	0	0
GCA_015462185.1_PDT000699931.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2991708	0	192	192	40647	40647	15581	15581	107513	107513	37.7	3.92	85.57	11	2919	1	171	0	0	0	0
GCA_015462205.1_PDT000699941.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3136130	0	325	325	23416	23416	9649	9649	75732	75732	37.5	3.29	85.88	11	3210	1	171	0	0	0	0
GCA_015462225.1_PDT000699933.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3059242	0	238	238	36619	36619	12853	12853	129088	129088	37.5	3.4	85.65	11	3053	1	170	1	0	0	0
GCA_015462245.1_PDT000699901.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2915352	0	178	178	41026	41026	16378	16378	107513	107513	37.8	3.9	85.54	11	2804	1	169	2	0	0	0
GCA_015462265.1_PDT000699929.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3059174	0	226	226	31577	31577	13536	13536	160396	160396	37.6	3.9	85.5	11	3056	1	171	0	0	0	0
GCA_015462285.1_PDT000699928.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2899499	0	201	201	36570	36570	14425	14425	107513	107513	37.8	3.79	85.64	11	2802	1	171	0	0	0	0
GCA_015462305.1_PDT000699927.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3174920	0	202	202	36948	36948	15717	15717	112183	112183	37.5	3.44	85.53	11	3203	1	169	2	0	0	0
GCA_015462325.1_PDT000699926.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3099359	0	196	196	41277	41277	15813	15813	129089	129089	37.7	3.83	85.65	11	3091	1	167	4	0	0	0
GCA_015462345.1_PDT000699924.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3031421	0	225	225	34679	34679	13472	13472	107513	107513	37.6	3.9	85.61	11	2979	1	171	0	0	0	0
GCA_015462365.1_PDT000699925.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3055847	0	202	202	47315	47315	15127	15127	129089	129089	37.7	3.69	85.65	11	3051	1	171	0	0	0	0
GCA_015462375.1_PDT000699921.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3056367	0	210	210	40647	40647	14554	14554	107513	107513	37.6	3.86	85.62	11	3000	1	170	1	0	0	0
GCA_015462385.1_PDT000699923.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3051571	0	202	202	40814	40814	15106	15106	107510	107510	37.6	3.88	85.63	11	2994	1	170	1	0	0	0
GCA_015462395.1_PDT000699922.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3043706	0	212	212	39205	39205	14357	14357	85745	85745	37.6	3.82	85.63	11	2988	1	171	0	0	0	0
GCA_015462405.1_PDT000699903.1	Firmicutes (1)	1349	172	99	98.99	5.05	100.0	3064419	0	229	229	33263	33263	13381	13381	93327	93327	37.6	3.41	85.76	11	3048	1	164	7	0	0	0
GCA_015462465.1_PDT000699916.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3200432	0	236	236	34393	34393	13561	13561	111122	111122	37.5	3.65	85.38	11	3242	1	171	0	0	0	0
GCA_015462485.1_PDT000699920.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3033169	0	201	201	39013	39013	15090	15090	100392	100392	37.6	3.81	85.71	11	2984	1	171	0	0	0	0
GCA_015462505.1_PDT000699917.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3190520	0	223	223	34564	34564	14307	14307	132772	132772	37.5	3.48	85.42	11	3231	1	171	0	0	0	0
GCA_015462525.1_PDT000699915.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3208921	0	239	239	34770	34770	13426	13426	111122	111122	37.5	3.48	85.37	11	3258	1	171	0	0	0	0
GCA_015462545.1_PDT000699918.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3096599	0	219	219	31424	31424	14139	14139	107513	107513	37.5	3.64	85.67	11	3065	1	171	0	0	0	0
GCA_015462565.1_PDT000699914.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3240994	0	215	215	34770	34770	15074	15074	109762	109762	37.5	3.36	85.39	11	3287	1	167	4	0	0	0
GCA_015462585.1_PDT000699913.1	Firmicutes (1)	1349	172	99	98.99	5.05	100.0	3109010	0	215	215	39010	39010	14460	14460	106951	106951	37.6	3.55	85.54	11	3081	1	166	5	0	0	0
GCA_015462605.1_PDT000699912.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3050984	0	199	199	37854	37854	15331	15331	106951	106951	37.6	3.75	85.56	11	3017	1	168	3	0	0	0
GCA_015462615.1_PDT000699911.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3064441	0	205	205	37148	37148	14948	14948	106951	106951	37.6	3.74	85.56	11	3046	1	166	5	0	0	0
GCA_015462635.1_PDT000699910.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3079411	0	201	201	39973	39973	15320	15320	106951	106951	37.6	3.87	85.48	11	3050	1	165	6	0	0	0
GCA_015462665.1_PDT000699909.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3024538	0	229	229	36996	36996	13207	13207	106951	106951	37.6	3.74	85.62	11	3009	1	169	2	0	0	0
GCA_015462685.1_PDT000699908.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3063509	0	193	193	42888	42888	15873	15873	137616	137616	37.7	4.01	85.49	11	3022	1	167	4	0	0	0
GCA_015462705.1_PDT000699905.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2903005	0	189	189	39013	39013	15359	15359	79349	79349	37.8	3.86	85.44	11	2802	1	171	0	0	0	0
GCA_015462725.1_PDT000699906.1	Firmicutes (1)	1349	172	99	98.99	5.05	100.0	2938011	0	210	210	41359	41359	13990	13990	133277	133277	37.7	3.37	85.78	11	2914	1	165	6	0	0	0
GCA_015462745.1_PDT000699907.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2881132	0	206	206	37245	37245	13986	13986	131863	131863	37.7	3.18	85.71	11	2850	1	171	0	0	0	0
GCA_015462765.1_PDT000699902.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3164278	0	223	223	34654	34654	14189	14189	105010	105010	37.5	3.57	85.35	11	3201	1	171	0	0	0	0
GCA_015462785.1_PDT000699895.1	Firmicutes (1)	1349	172	99	98.99	2.36	100.0	3002098	0	186	186	40123	40123	16140	16140	134626	134626	37.7	3.79	85.57	11	2943	1	168	3	0	0	0
GCA_015462805.1_PDT000699904.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3112406	0	232	232	35275	35275	13415	13415	97170	97170	37.4	3.51	85.72	11	3077	1	168	3	0	0	0
GCA_015462825.1_PDT000699898.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3113880	0	249	249	31896	31896	12505	12505	130087	130087	37.6	3.48	85.7	11	3144	1	171	0	0	0	0
GCA_015462845.1_PDT000699896.1	Firmicutes (1)	1349	172	99	98.99	5.05	100.0	2921286	0	216	216	29979	29979	13524	13524	128318	128318	37.8	4.11	85.93	11	2879	1	165	6	0	0	0
GCA_015462865.1_PDT000699877.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	2999213	0	201	201	42800	42800	14921	14921	163436	163436	37.7	4.1	85.61	11	2981	1	167	4	0	0	0
GCA_015462885.1_PDT000699840.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2907832	0	183	183	40647	40647	15889	15889	107513	107513	37.8	3.94	85.58	11	2808	1	171	0	0	0	0
GCA_015462905.1_PDT000699892.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3016672	0	230	230	30644	30644	13115	13115	114264	114264	37.7	3.84	85.62	11	3023	1	171	0	0	0	0
GCA_015462925.1_PDT000699875.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3010707	0	198	198	38412	38412	15205	15205	119885	119885	37.7	3.75	85.62	11	3014	1	169	2	0	0	0
GCA_015462945.1_PDT000699867.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2914346	0	179	179	40647	40647	16281	16281	107513	107513	37.8	3.94	85.57	11	2809	1	170	1	0	0	0
GCA_015462965.1_PDT000699866.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2893191	0	193	193	36570	36570	14990	14990	79173	79173	37.8	3.67	85.64	11	2789	1	171	0	0	0	0
GCA_015462985.1_PDT000699900.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3178438	0	214	214	36524	36524	14852	14852	130087	130087	37.5	3.7	85.42	11	3192	1	170	1	0	0	0
GCA_015463005.1_PDT000699884.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3112577	0	222	222	36570	36570	14020	14020	107513	107513	37.5	3.88	85.69	11	3099	1	171	0	0	0	0
GCA_015463025.1_PDT000699878.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3028838	0	200	200	40576	40576	15144	15144	160289	160289	37.7	3.97	85.7	11	3026	1	171	0	0	0	0
GCA_015463045.1_PDT000699861.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2893316	0	193	193	40742	40742	14991	14991	107513	107513	37.8	3.9	85.5	11	2798	1	171	0	0	0	0
GCA_015463065.1_PDT000699834.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3088778	0	343	343	22775	22775	9005	9005	80225	80225	37.7	4.02	85.39	11	3113	1	170	1	0	0	0
GCA_015463085.1_PDT000699934.1	Firmicutes (1)	1349	172	99	98.99	0.17	0.0	3153442	0	457	457	27020	27020	6900	6900	130957	130957	38.4	6.34	85.39	11	3247	1	170	1	0	0	0
GCA_015463095.1_PDT000699885.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3077259	0	203	203	35389	35389	15158	15158	79174	79174	37.6	3.57	85.7	11	3043	1	171	0	0	0	0
GCA_015463125.1_PDT000699939.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3168858	0	222	222	34962	34962	14274	14274	110578	110578	37.6	3.3	85.5	11	3203	1	171	0	0	0	0
GCA_015463145.1_PDT000699855.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2915992	0	183	183	40647	40647	15934	15934	81218	81218	37.8	3.62	85.55	11	2808	1	171	0	0	0	0
GCA_015463165.1_PDT000699841.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2900480	0	194	194	40647	40647	14950	14950	107513	107513	37.8	3.92	85.58	11	2801	1	171	0	0	0	0
GCA_015463185.1_PDT000699882.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3139955	0	213	213	36010	36010	14741	14741	101959	101959	37.5	3.68	85.42	11	3138	1	171	0	0	0	0
GCA_015463205.1_PDT000699864.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3011098	0	178	178	40742	40742	16916	16916	107513	107513	37.7	3.93	85.61	11	2938	1	169	2	0	0	0
GCA_015463215.1_PDT000699844.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3023230	0	194	194	39398	39398	15583	15583	107513	107513	37.7	3.92	85.54	11	2951	1	167	4	0	0	0
GCA_015463245.1_PDT000699897.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3171085	0	223	223	34449	34449	14220	14220	105010	105010	37.5	3.49	85.32	11	3194	1	170	1	0	0	0
GCA_015463265.1_PDT000699854.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2961458	0	193	193	45117	45117	15344	15344	107513	107513	37.7	3.9	85.46	11	2893	1	171	0	0	0	0
GCA_015463285.1_PDT000699858.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2999872	0	209	209	44623	44623	14353	14353	107513	107513	37.7	3.85	85.48	11	2939	1	171	0	0	0	0
GCA_015463305.1_PDT000699860.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2969854	0	205	205	40742	40742	14487	14487	107513	107513	37.7	3.95	85.61	11	2896	1	171	0	0	0	0
GCA_015463325.1_PDT000699891.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3026953	0	239	239	35773	35773	12665	12665	133283	133283	37.7	3.96	85.62	11	3048	1	170	1	0	0	0
GCA_015463345.1_PDT000699842.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2893182	0	182	182	39581	39581	15896	15896	154377	154377	37.8	3.65	85.55	11	2788	1	171	0	0	0	0
GCA_015463355.1_PDT000699883.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3126766	0	222	222	33354	33354	14084	14084	111123	111123	37.6	3.52	85.46	11	3136	1	171	0	0	0	0
GCA_015463385.1_PDT000699873.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2985729	0	192	192	36568	36568	15550	15550	160412	160412	37.7	4.05	85.44	11	2965	1	170	1	0	0	0
GCA_015463405.1_PDT000699845.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2886254	0	188	188	40647	40647	15352	15352	107513	107513	37.8	3.84	85.5	11	2788	1	171	0	0	0	0
GCA_015463425.1_PDT000699853.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2905948	0	177	177	40742	40742	16417	16417	107513	107513	37.8	3.89	85.56	11	2805	1	171	0	0	0	0
GCA_015463445.1_PDT000699852.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3000641	0	182	182	41206	41206	16487	16487	86232	86232	37.7	3.79	85.5	11	2927	1	169	2	0	0	0
GCA_015463465.1_PDT000699851.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2872615	0	202	202	34601	34601	14220	14220	81218	81218	37.8	3.56	85.71	11	2775	1	171	0	0	0	0
GCA_015463485.1_PDT000699872.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2935000	0	219	219	31686	31686	13401	13401	128307	128307	37.7	3.92	85.58	11	2923	1	169	2	0	0	0
GCA_015463505.1_PDT000699887.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3210700	0	220	220	31854	31854	14594	14594	110696	110696	37.6	3.7	85.49	11	3236	1	167	4	0	0	0
GCA_015463525.1_PDT000699868.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2913781	0	188	188	39013	39013	15498	15498	81218	81218	37.8	3.77	85.63	11	2819	1	169	2	0	0	0
GCA_015463545.1_PDT000699863.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2928144	0	198	198	40742	40742	14788	14788	107513	107513	37.8	3.85	85.61	11	2833	1	169	2	0	0	0
GCA_015463565.1_PDT000699886.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3098251	0	208	208	36044	36044	14895	14895	106951	106951	37.6	3.91	85.56	11	3095	1	168	3	0	0	0
GCA_015463585.1_PDT000699890.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3004299	0	247	247	28549	28549	12163	12163	86230	86230	37.7	3.77	85.69	11	3015	1	171	0	0	0	0
GCA_015463605.1_PDT000699889.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3053710	0	216	216	36551	36551	14137	14137	134529	134529	37.7	3.96	85.6	11	3049	1	169	2	0	0	0
GCA_015463625.1_PDT000699859.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2917325	0	196	196	40647	40647	14884	14884	107513	107513	37.8	3.92	85.57	11	2823	1	171	0	0	0	0
GCA_015463645.1_PDT000699843.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2983898	0	187	187	37102	37102	15956	15956	82853	82853	37.7	3.59	85.53	11	2910	1	171	0	0	0	0
GCA_015463665.1_PDT000699862.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3007834	0	195	195	41205	41205	15424	15424	107512	107512	37.7	3.92	85.49	11	2949	1	171	0	0	0	0
GCA_015463685.1_PDT000699848.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3159244	0	326	326	35389	35389	9690	9690	107513	107513	37.7	3.85	85.61	11	3184	1	171	0	0	0	0
GCA_015463705.1_PDT000699846.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2918436	0	178	178	39013	39013	16395	16395	107513	107513	37.8	4.06	85.6	11	2811	1	171	0	0	0	0
GCA_015463715.1_PDT000699888.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3177275	0	203	203	34118	34118	15651	15651	110875	110875	37.6	3.65	85.45	11	3193	1	171	0	0	0	0
GCA_015463745.1_PDT000699857.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2855258	0	233	233	26417	26417	12254	12254	79349	79349	37.8	3.56	85.92	11	2772	1	171	0	0	0	0
GCA_015463765.1_PDT000699870.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3087631	0	200	200	34962	34962	15438	15438	105010	105010	37.6	3.92	85.42	11	3109	1	169	2	0	0	0
GCA_015463785.1_PDT000699847.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2989202	0	185	185	40742	40742	16157	16157	107101	107101	37.7	3.71	85.47	11	2921	1	171	0	0	0	0
